key,amenfeat_1,amenfeat_2,amenfeat_3,amenfeat_4,amenfeat_5,amenfeat_6,amenfeat_7,lon,lat,title
6,(*),(L),(D),(S),,,,-86.8025428,33.5176803,Bill's Club
20,(L),,,,,,,-86.7950963,33.500939,Lodestar Books
49,(YC),(L),(D),(S),(*),,,-86.5975022,34.763722,Atlantis
57,(W),(OC),(L),Cruisy Area,(*),,,-88.0426607,30.6903954,Corral
60,(L),(B),,,,,,-88.0423188,30.6905321,Society Lounge
71,(D),(L),(AH),(*),,,,-86.3095465,32.3765465,Skeeters
91,(YC),(D),(*),(L),,,,-149.8801505,61.2177897,The Village
131,(L),(YC),(D),(PT),,,,-112.147393,33.506892,Farrah's
138,(L),(D),(*),,,,,-112.028937,33.4806218,Incognito Lounge
143,(L),(D),,,,,,-112.0154764,33.4660819,New Moon
180,(D),(P),(V),(L),,,,-110.9252135,32.2363608,Collette's
204,(L),(PT),(*),,,,,-114.6247963,32.7226362,J.P.'s Cameo Lounge
215,(L),(D),,,,,,-94.4003782,35.4090865,Village Landing
231,(*),(L),(D),(S),(PT),(V),,-92.3119574,34.7647864,Fifth Gear
235,(L),,,,,,,-92.3048252,34.7314969,Silver Dollar
259,(M),(D),(L),,,,,-119.0156387,35.3769843,Trade Winds
287,(L),(H),,,,,,-122.775756,39.0430008,Blue Fish Cove Resort
322,(D),(L),(PT),(W),(WE),(*),,-124.163673,40.802071,Driftwood Tavern
342,(L),(D),(*),,,,,-119.8329245,36.7709896,High Energy
346,(L),(D),(PT),,,,,-119.7573238,36.7502101,Palace Saloon
355,(YC),(L),(D),(WE),(*),,,-117.907669,33.7744991,D.O.K West
358,(L),(R),(PT),,,,,-117.9224287,33.7745622,Happy Hour
368,(L),(PT),(D),,,,,-122.0895512,37.6771218,Driftwood Lounge
393,(E),(OC),(L),,,,,-117.7741919,33.5315574,Main Street
417,(*),(L),(D),,,,,-118.1516156,33.7895131,Executive Suite
419,(PT),(L),,,,,,-118.1596465,33.7824589,Hoop's Coop
422,(L),,,,,,,-118.1734759,33.7682248,Le Chat
428,(L),(D),,,,,,-118.1680968,33.7756109,Que Sera Sera
435,(L),(D),,,,,,-118.1688826,33.8656836,Sylvia's
508,(L),(D),(*),,,,,-118.3635911,34.0910919,Peanuts
521,(PT),(L),(*),,,,,-118.3787912,34.0876889,The Palms
580,(L),(D),(PT),(OC),,,,-118.3712497,34.1598544,Big Horn
583,(L),,,,,,,-118.3712497,34.1598544,Club 22
590,(E),(L),(*),,,,,-118.3089661,34.1808392,In Touch East
604,(*),(L),(D),(PT),,,,-119.1770516,34.1975048,Oxwood Inn
610,(L),(*),,,,,,-119.4179324,36.778261,Rumors
625,(L),(D),(V),(*),,,,-118.4681716,34.1494975,Connection
630,(L),,,,,,,-118.4482291,34.0333821,Transfer
645,(D),(L),,,,,,-120.9858206,37.6203997,Brave Bull
651,(D),(L),(WE),(*),,,,-120.9967669,37.6328087,Mustang Club
675,(L),,,,,,,-116.5473,33.8471028,Gloria's Bar
687,(B&B),(L),(*),,,,,-116.5303112,33.8019627,Smoke Tree Villa
707,(L),(D),(*),,,,,-118.0708707,34.1500484,Vermie's
716,(L),(R),,,,,,-117.7361732,34.0583792,Mary's
718,(L),(D),(E),(*),,,,-117.7472522,34.0577566,Robbie's
770,(L),(D),(*),,,,,-121.3959251,38.6316737,Cleo's
778,(L),,,,,,,-121.4763027,38.5754917,Lioness Book Store
791,(D),(PT),(L),,,,,-121.472585,38.5563206,Once in a Blue Moon
826,(PT),(E),(L),,,,,-117.2199109,34.1087469,Stage Door
839,(L),(S),(D),,,,,-117.1000544,32.7800044,Box Office
870,(L),(*),,,,,,-122.4360035,37.7606565,Francine's
922,(L),,,,,,,-122.4303889,37.7668397,Women's Training Center
932,(L),(R),(D),(H),(*),,,-122.410026,37.775454,Clementina's Baybrick Inn
971,(L),(D),(PT),(*),,,,-122.4500469,37.7652923,Maud's
973,(L),(OC),(D),(PT),,,,37.780494,-122.47032,Peg's Place
979,(L),(N),(WE),(AH),,,,-122.4068909,37.7593844,A Little More
980,(*),(L),(D),,,,,-122.4214116,37.7625064,Amelia's
981,(L),(R),(*),,,,,-122.420628,37.7538309,Artemis Society
990,(L),,,,,,,-122.4214209,37.7574411,Modern Times Bookstore
991,(L),,,,,,,-122.4209545,37.7566676,Old Wives' Tales
995,(L),(N),,,,,,-122.4173724,37.7635614,Wildside West
1101,(M),(W),(L),(C),(AH),(WE),(PT),-122.1184584,37.6984727,Bill's
1103,(L),,,,,,,-120.6577598,35.2708044,Journey's Inn
1113,(L),(D),(E),,,,,-122.3230912,37.56598,Sassy's
